name,surname,email
john,smith,JOHN.SMITH@example.com
jane,doe,jane.doe@example.com
peter,johnson,PETER.JOHNSON@example.com
alice,williams,alice.williams@example.com
bob,brown,bob.brown@example.com
emily,davis,EMILY.DAVIS@example.com
michael,wilson,michael.wilson@example.com
sarah,taylor,sarah.taylor@example.com
david,anderson,DAVID.ANDERSON@example.com
laura,thomas,laura.thomas@example.com
james,moore,james.moore@example.com
emma,martin,emma.martin@example.com
william,jackson,WILLIAM.JACKSON@example.com
olivia,white,olivia.white@example.com
daniel,harris,daniel.harris@example.com
sophia,martinez,SOPHIA.MARTINEZ@example.com
robert,lee,robert.lee@example.com
mia,walker,mia.walker@example.com
thomas,hall,THOMAS.HALL@example.com
charlotte,allen,charlotte.allen@example.com
christopher,young,christopher.young@example.com
amelia,hernandez,AMELIA.HERNANDEZ@example.com
joseph,king,joseph.king@example.com
isabella,wright,isabella.wright@example.com
george,lopez,GEORGE.LOPEZ@example.com
ava,hill,ava.hill@example.com
frank,scott,frank.scott@example.com
lily,green,LILY.GREEN@example.com
henry,adams,henry.adams@example.com
grace,baker,GRACE.BAKER@example.com
samuel,nelson,samuel.nelson@example.com
chloe,carter,chloe.carter@example.com
alexander,mitchell,ALEXANDER.MITCHELL@example.com
ella,roberts,ella.roberts@example.com
benjamin,turner,BENJAMIN.TURNER@example.com
scarlett,phillips,scarlett.phillips@example.com
lucas,campbell,lucas.campbell@example.com
victoria,parker,VICTORIA.PARKER@example.com
henry,evans,henry.evans@example.com
nora,edwards,NORA.EDWARDS@example.com
invalid,email,invalid-email
missing,domain,missing@
duplicate,user,john.smith@example.com
another,duplicate,JOHN.SMITH@EXAMPLE.COM
,noname,noname@example.com
noname,,missing.surname@example.com
missing,email,
bad,format,bad@@example.com
spaces,test, spaces@example.com 
